prem_id,premise,dialect
prem22,"Esan gurot ez euela lehergailuagaz sartzeko arriskurik, ez zalako lehertuko lurzorue oso gogor jota be.",western
prem23,Saiatzen nabilen hori bera dala emoten dau.,western
prem24,"Halanda be, animalixek solte gelditzen zien, ahuntzek batez be.",western
prem25,Atiek itxita euzen sartu ginanien.,western
prem26,"Beraz, guztizkuek hartu eta holan moldatu biher izen neuen.",western
prem27,"Etorri zan, atie zabaldu aben, eta goguen dekot atzera beittu nabela eta arpeiko keinue ikusi notzen, eta konturatu netzen dezepzionaute euela.",western
prem28,Eztot denda zihetzik.,western
prem29,Ez aben inoz ezer bere kabuz ein biher izen.,western
prem30,"Beraz, pentseu neuen, Jainkue nirie, eta Ramama han euen zutik.",western
prem31,Eta kontue da arina zala!,western
prem32,Ez dakit Augustan geldittu ete zan horren ostien.,western
prem33,"Ez euskuen inoz esaten nora joiazen, ezta basetik norabait jueten zienien tarte batez han gelditzeko.",western
prem34,"Esan eben: leku bat ordaintzen gabiz, han egon zaittezen.",western
prem35,"Beno, hurrengo egunien, jakiñe, Kennedy presidentiek blokeue ezarri aben Kuba, gure ontziek ontzi errusiar bat geldittuazo eben Kubatik kanpora joiala, eta misilak aurkitu ebezan.",western
prem36,Gizona sartu ein zan.,western
prem37,"Nire aittitte-amamak beti izen zien oso-oso maitekorrak, eta gurasuek be bai, eta oso ondo pasetan gendun han.",western
prem38,Ez neuen astirik dana dalako gauzak sartzeko.,western
prem39,Eta nire lanetako bat zan jentie entrenrtie bonba atomikue bera lehertuazoten dauen arma nuklearren tiragailuei paraxuta jarten.,western
prem40,"Amamak bere txikitteko istorixo asko kontetan eustezan, eta, batez be, familiaz berba eitten aben, eta garai harexek zelakuek zien.",western
prem41,"Presiño jantzi osuek geunkezan hegazkinien, astronautek janzten ebezan modukuek, baña guriek zilar kolorekuek zien osorik, botak eta guzti, berue islatzeko, jakiñe.",western
prem42,Aittitte ez zan gizon atsegine.,western
prem43,"30 edo 40 U2 hegazkin diez, eta pilotu txinatarrek, pilotu britainiarrek, mundu osoko gure aliatuekaz hasi gendun entrenamentue.",western
prem44,"Esan aben: beittu, bilatu hau halango konpainiaren inguruen.",western
prem45,Iparraldera juen ziela esan aben.,western
prem46,"Ez, zintzue izeteko, inoz ez neuen irakurri irakurri biher neuen libururik.",western
prem47,"Aurrera jarraitu, ekipajie jaso eta juen biher neuen helbidera juen netzen.",western
prem48,Umore aldaketie izugarrixe izen zan.,western
prem49,"15 persona baño gehixauren artien aukeratu neben eskola horretara jueteko, eta ez naz juengo.",western
prem50,"Hainbat altitude ganberatatik igaro biher dabe, hainbat bider, U2ak pilotetan hasi aurretik edo presiño jantzixekaz hegan ein aurretik.",western
prem51,Gauza bera nabil estaltzen.,western
prem52,"75 urtetan hori gertau zan lehen aldixe izen zan, Texasko legebiltzarrak unidade militar baten alde bozkau ebala Texasko enbaxadore izeteko. Hau da, Texasko enbaxadoriek biher ebezan.",western
prem53,Zeozer ein leiket?.,western
prem54,"Gorroto aben hori, eta egunero esateotzon ahiztieri txarto ebilela.",western
prem55,"Haren etxera juen netzen, eta, gero, heltzien deittu biher neuen zenbakira deittu neuen.",western
prem56,"Beno, gaur goizien iritsi naz, eta, ahaztu ein jat zelan, usteot galdera bat ein dotela eta ha agertu dala.",western
prem57,Ez genekixen nora joiazen.,western
prem58,"Baña pentseu neuen, ahaztu, gosie doten bittartien hamaiketakue jangot.",western
prem59,"Pentsau, gaur ixe lana ixteko puntura iritsi naz.",western
prem60,"1880 inguruen, 1889xen, usteot, orduen jaixo zala esango neuke.",western
prem61,"Hobe da torloju txikixe pixka bat askatzie, kalte ein ahal deutselako birikei, oso errez.",western
prem62,"Del Riora (Texas) jueteko aginduek jaso neuzen, eta hara iritsi netzenien, beno, Aireko Indarren Laughlin basera juen biher nabela jakin neuen.",western
prem63,"Mundu guztixeri xanpaina emoten jakon, eta batzuek ez eben eraten; beraz, umiek eraten eben, hau da, xanpaina hori guztixe eraten ibilten ginan.",western
prem64,Istorixo asko dauz hiri biluzixen.,western
prem65,Hegazkinak probetan dauzenien bizi eta ikasi eitten dau.,western
prem66,Hori da kontue.,western
prem67,"Kuba ganetik pasau zan aireko base batetik, eta, jakiñe, Rudolph Anderson eraitsi ein eben.",western
prem68,"Seguru asko, hori da ume garaitik gogoratzeoten lehenengo gauzie, batez be txarto eindako zeozeri buruzkue.",western
prem69,"Egun horrexetan baltza izatie ez jaken gustetan, beste barik, eta seguru asko 30eko hamarkadaren hasieran ein eben.",western
prem70,Inork ez ekixen nora juen zien.,western
prem71,"Eta ezin zien Augusta inguruen geldittu, jentiek baekixelako zeozer eitten saiatu ziela, benetan tabua, zuri plantak eitten saiatu ziela.",western
prem72,"Bai, beno, tipue hemen dau.",western
prem73,Zeozer ikusten genbilzan telebisiñuen.,western
prem74,"Halanda be, barriro be Ramamagaz berba ein nabela usteot.",western
prem75,"Kubako krisiaren biktima bakarra izen zan, eta Kaiser argazkixek atera eta Washingtongo aireko indarren Andrews basera abiau zan zuzenien.",western
prem76,Esan aben: Ez dozu bizitza ulertzen nire moduen.,western
prem77,"Gero ulertuot, eta, ados, baña zer ein horregaz?",western
prem78,"Emon minutu bat moztu gure bozue, eta juengo naz.",western
prem79,"Beraz, Washington DCra juen netzen, eta ez netzen zuzenien juen, uh, uh, nire aginduetara esan eustien moduan.",western
prem80,Azal argiko persona baltz bat zan.,western
prem81,Aitak basokada haundi bat txokolate esne ein aben niretzat.,western
prem82,Garraio Departamentuek lursaila eta holanguek erosi biher ebazan.,western
prem83,Jaixo ein ahal izango zan.,western
prem84,Badakit zeinen urrin iritsi nazen.,western
prem85,"Ondo da, entzun al doztezue?",western
prem86,Esan zeñun ez dozule gogoratzen ezer berezixe irakurri izana eskolan zaharraue zinenien. Irakurri al zeñun gustoko zeñun edo gorroto zeñun libururik?,western
prem87,"Injekziño bat jarten dauen torloju txiki bat da, arnas presinoko hodixe pilotueri eta kontrako presinoari lotzeotzo.",western
prem88,"Honan dotzo: Ez kezkau horregaittik, hartu biher beste denpora.",western
prem89,"Kennedy presidentiek hau esaotzie pilotuei: 'Jaunak, ein argazki onak'.",western
prem90,Eta nik pentseu neuen ixe amaitu ein nabela.,western
prem91,Dana idazten saiatu netzen.,western
prem92,"Ez, 1900ien jaixo zan, 16 urte ebazalako, eta 1926 ingurue izango zan, 1930a baño lehenau.",western
prem93,"Beraz, benetan interesgarrixe izen zan.",western
prem94,"Haren ahiztie zuritzat hartu ahal zan, eta zuritzat jo aben, hain zuzen.",western
prem95,"Beno, haren aitte izeteko beste zaharra zan ixe.",western
prem96,"Hori, ni bizi euskarriko 922 bakarra netzen, eta bestie laguntza fisiologikokue zan.",western
prem97,"Nik pentsetan neuen bertara sartuko zala, eta pentseu neuen husteko nigaz, eitteko errixetie, ez nabelako bukatu.",western
prem98,"Beno, jakiñe, esan barik due, ezin gendun akatsik ein.",western
prem99,Eta gabaz ezin neuen lorik ein.,western
prem100,Benetan defentsa ona aben.,western
prem101,Inoz ez esateari jagokonez...,western
prem102,Gu inguru honetan bizi gara.,western
prem103,Eta oso azkar dabil berba eitten; mugikorretik dabil.,western
prem104,"Eziot gogoratu zer zan, baña bat-batien oso urduri jarri netzen lehenengoz eskolara juen biher nabela, eta hori izen zan nire bizitzako egunik estresagarrixena.",western
prem105,"St. Louisetik kanpo bizi zan, Jefferson City eta St. Louis, MOren artien.",western
prem106,"Del Rioko leku batera bialtzen nebilen, eta gero Laughlin Aire Indarraren Oinarrira juen biher izen neuen.",western
prem107,Bardin jost zelan eitten daben.,western
prem108,"Orduan, beittu, Ramama nun dauen jakingot, eta han deittuko dot.",western
prem109,"Bixen bittartien, aireko indarrak SR71 erosi aben, oin A-12, CIAgaz biherrien genbiltzana.",western
prem110,"Orduan, arrebaren senarra be argi euen?",western
prem111,"Zahartu ahala, barriro, ez aben inoz onartu oker euela, baña aldatu ein aben portaerie.",western
prem112,Tipo haundixe da osaba.,western
prem113,"Han bizi zan ahiztarengana juen netzen. Senarra biherrien ebilen eta Inteligentzixagaz biher eitten aben, eta ni haren etxera juen netzen.",western
prem114,"Nik uste neuen: Beno, nik beste persona bati alde eingotzet, baña orduen nik pentsetan neuen: Ene!",western
prem115,"Minutu bat jipoitzen dabil mahaiganien, hurrengue ondo dau, nire mahaiganien eukittie, dah, dah, dah, dah, dah, dah.",western
prem116,"Halanda be, hara iritsi eta esan aben: 'Zelan zabilz iristen?",western
prem117,"Gero inguruen biraka neuen, ez dakit, egun horretan egun osue emoten aben.",western
prem118,Berak tuberkulosixe aben eta nik be ez nekixen.,western
prem119,"Ezin dozu, ezin dozu bizirik iraun kontrapresinorik ez bozu, altitude horrexetan arnas presinue haunditzen bozu.",western
prem120,"Atuen hasi netzen, uh, lekuan euzen beste mota bi horretan trebatzen.",western
prem121,"Kuota batetik kanpo baeuen, doikuntza batzuk ein biher zizkion erregulatzaileari berari.",western
prem122,"Uh, ni neu netzen ondino bakarra eta bederatzi bi bakarrik jarri neuzen injekzinue erreguladorien.",western
prem123,"Ezkontzaren zeremonixie be ez aben ulertzen, ez ekixen ezkondu ein zala, benetan...",western
prem124,Hara juengo ginttekez.,western
prem125,"Eta beste bilobak tratetako modue norena zan, zelanbait, badakizielako.",western
prem126,"Bikaina izen zan, eta janzkixek haize pixka bat jo aben...",western
prem127,"Uh, nire denporiaren zati haundi bat igaro neuen, uh, jarduera berezixetan.",western
prem128,"Eta galdetu notzen, badakizue, ein ete nezakeen, e, Gabien geratu eta ein biher dau, edo bixer eguerdixen ein ahal izango dau, ondo badago?",western
prem129,"Baña, uh, herri txiki batien bizi zien Augustako kanpoaldien, Evans izenekuen, eta Evans existiduten da ondino, eta hor dauz ondino nire senide asko.",western
prem130,"Nire ahiztiek esaten jarraitzen dau: 'Batzuetan amama modukue zara, txarto tratetan dozu jentie, arrazoi okerrengaittik'.",western
prem131,"Orduan, etxe barri batera juengo gara.",western
prem132,"Nik uste neuen, ondo, hori ona da, badakizie, holan.",western
prem133,"Eta pintura orbanak 100 gradutik behin aldatuko leittekez, gorrixe izen leike, urdinera aldatuko leitteke.",western
prem134,"Oso arin jan neuen, ahal bezain arin, eta gero han etorri netzen, eta azkenien lagundu ein zoztan.",western
prem135,Ahiztiaren senarra be argi euen.,western
prem136,"Edozelan be, O2-erreguladorie asmatzie bururatzen jake.",western
prem137,"Beraz, Las Vegasera, NVra, juen ginen, eta, Washingtonen ein neuen moduen, Las Vegaseko erdigunera juen netzen.",western
prem138,"A, laugarren maila oso dibertigarrixe izen zan.",western
prem139,"Fitxa pilue dekon artxibo bat modukue da, fitxa bakotxak kalkulu orri desbardina deko.",western
prem140,Eztozte ardure zelan eitten daben.,western
prem141,Eta Mallard Creekera juen zien Charlotten.,western
prem142,"Bera ministro baten semie zan, eta, beraz, ondasunak eta gauzak eukezan, oso ondo konektaute euzen komunitatien eta oso estimu haundixen euzen.",western
prem143,Eta nik ez nekixen zenbat xehetasun gure neuzen.,western
prem144,"Eta um, desbardine da, bezero bakotxaren azpixen moduen, fitxategi guztixek diez.",western
prem145,"Errezaue da, berak emon zoztana bezain zihetza eta konplexua, eta bigarrena dana sinplie",western
prem146,"Izen be, egixe esan, ez zien Augustan bizi, beno, badakizue, Augusta ondino be hiri bat zan garai haretan, Augusta moduko hiri haundixetako personentzat hain haundixe ez izen arren.",western
prem147,"1962aren amaieran, Washington, D.C.ra jueteko agindue izen neuen.",western
prem148,"LAAk bere jabetza hartu abenien, Concordeko eremu txikiau batera juen ginen. Han ezin da animalixarik izen, eremutan banatuta dagolako, eta hoixe da animalixen historixiaren amaierie.",western
prem149,"Halanda be, zabaldu ein gara, eta oin esan leiket, horregaittik, uh, Kadina, Okinawan zabaldu ginela, eta hori 1968an izen zan.",western
prem150,"Esan zoztan zer biher aben zihetz-mihetz, eta zer biher aben gaur.",western
prem151,"Juen zan, eta ez arduratzeko esan zoztan.",western
prem152,"Beittu, arazuek dekozuz.",western
prem153,"Hasieran, ama ez zan bere gogokoenetako bat, eta, beraz, soroetan biher eittera bialdu eben, eta beste ume batzuek, barrez, ez eben soroetan biher eitten.",western
prem154,"Jentieri galdetzen jarraitzen eben, eta inork ez ekixen nun euzen, eta, azkenik, onartu ein eben Joe ez ebela barriro ikusiko.",western
prem155,Ahiztarena zala esan notzen.,western
prem156,"Esan aben ama aurrerantz makurtzen zala, eta beittu eta esan aben, ha moduen ibilten da.",western
prem157,"Petaluek goixen batzen dabil, eta nik ez nekixen zer ondorixo ekarren.",western
prem158,"A, interesgarrixe iruditu jaten beste gauza bat da nire ahiztiaren lehenengo oroitzapenetako, eta atzeko patixo horretan bertan izen zan.",western
prem159,"Estresagarrixe izen da, eta arrazoi osue neuen gaur estresetako, eitten ez ekixen zeozer emoten ebilen: hemen dozu, eizu.",western
prem160,"Hemen dozu, gaurko gure dau.",western
prem161,"Zoritxarrez, barriro aldatu ginan etxez.",western
prem162,"Ez neuen Faulk andrie oso ondo ezagutzen, 80 urte eukezan eta persona ona zan, batzuetan ikusi neuen, baña ni oso urduri egoten  netzen.",western
prem163,"Mallard Creeken bizi ginan, 85 zenbakixen; gaur egun, 485 errepidie dau bertan. Orduan, oin hamar urte, etxez aldatu biher izen ginan, 485 errepideagaittik.",western
prem164,Emoten zaben nausixek nortasun zatitue eukela.,western
prem165,Nire aitte izeteko moduko adina deko.,western
prem166,"Dana lotuta dau, eta, jainkue, ez dakit zenbat irauten dauen.",western
prem167,"Oinguen, neska han euelako be ez neuen pozik, estresaute neuelako.",western
prem168,Eta gauza asko pasetan diez amak drogak hartzen dabizelako.,western
prem169,"Bai, ederra dau, euririk ein dau?",western
prem170,"O, zenbat balixo dauen giza bizitzak eta nonor birgaitu leiken ala ez",western
prem171,"Ene, kableauen arazo arraro bat dozu.",western
prem172,"Oso dibertigarrixe emoten dau, txundigarrixe da niretzat zenbat gauza onartuko leukiezan",western
prem173,"Bai, hoixe. Esan gurot hornitzen zarenerako eta hori einez izerditzera jueten zarenerako, zu Club Med-en oporretara juen ahalko zinateke, dana barne",western
prem174,"Baña, edozelan be, nire seme-alabek oin hogeta bat eta hogeta lau urte dekiez; beraz, eztot biher",western
prem175,"B, beno, Fresno da hau",western
prem176,"Bai, edozein unetan biherrien egon leikezan personak, edo erabagixek hartu biher izan ezkero hareen erabagixek lausotuta egon leikezanak.",western
prem177,"Ez, ondino biran dauz, hirurogeiko hamarkadaren amaieratik hona ibili diez biran.",western
prem178,Zelan eingo zeunke aerobik?,western
prem179,"Beno, hori ona da, eztot horretan pentseu.",western
prem180,"Eguneko zaintzie astien egun bitan, adinekoentzako eguneko zaintzie deitzeotzie, baña hirugarren adinekoentzako zentrora jueten da.",western
prem181,Hori zan hareen helburue,western
prem182,Armak kontroletako esku bi erabili biher diez,western
prem183,"Eta, bat-batien, ez dakit nundik datorren, baña nonondik dator",western
prem184,"Ez, hain zuzen, ez dakit ezer horretaz, eztot uste",western
prem185,"Bai, aparta zan",western
prem186,Iradoki aben lanbas bat erabilteko,western
prem187,"Oso txarto dau egoerie hemen, autobidien tiroketa bat izen barri dou, gure etxetik 3 etxetara.",western
prem188,"Egixe da, ez da oso trinkue.",western
prem189,Eusten saiatzen nabil,western
prem190,"Bai, zer txakurkume mota dozu?",western
prem191,Zer adineko seme-alabak dozuezala esan zeñun,western
prem192,"Seguruenez ez zien munduko personarik argienak, baña oso atseginak zien eta ikasteko prest euzen personei buruz interesa eben.",western
prem193,"Behin, ekitaldi batetik bueltan, kanpalekuaren inguruen argixek piztu genduzan, eta mofeta bat euen hortxe.",western
prem194,"Bakizu nire seme-alaba guztixek parebakuek diela, benetan onak diez, eta pentsetan dot mutil zaharrengandik be ikasten dauela, baña",western
prem195,"Eta horrek ekarriko leuke jentiek bere zaborra gehixau trinkotzie, eta bolumena mugatzie, seguru asko, benetako arazotik gertuau dau pisue mugatzie baino.",western
prem196,"Beraz, akatsen bat badau, zure akatsa da.",western
prem197,"Ondotxo dakizu josturak eta holanguek eitten, eta oso akabera profesionala dekie.",western
prem198,"Nire postuen aste bi dekozuz hasten zarenien, eta gero urtero aparteko egun bat emoteotzue, lau aste izen arte.",western
prem199,"Hori da mendixen bizitziaren onena, ez dozu holango ezertaz arduratu beharrik",western
prem200,"Ene berba, abentura kutsue dau horrek",western
prem201,eta oin ahizta bat dot Alemanixan,western
prem202,"Alaba txiki bat dot oin, eta gatxa da hara eruetie, baña eingot",western
prem203,uda ona izen,western
prem204,"gu ez gara benetako naturalistak, ez antzeko ezer be",western
prem205,"aittitte-amamak gogoratzen duaz, eta beti urtetan naben errepidera, eta garagardau latak eta holanguek batzen neuzen",western
prem206,"beraz, hau ez da txakur bataz dozun lehenengo esperientzixie.",western
prem207,"bai, bai, ez kontatu guzti-guztixe",western
prem208,"ez, campusetik kanpo bizi naz",western
prem209,"gizonak, kargu barik, emazte ohixe sastakatu aben hil arte, beste tipo bataz oheratzen ebilelako; esan gurot emazte ohixe dala, badakixela bakizu berba eitten gabizla ta",western
prem210,partidearen aurrezkiaren antzekue da,western
prem211,"Wills Pointekue zan, ez dakit ezagutzen dozun",western
prem212,"erlojue neuken eta oinetakoen ganien jausi zan dana, eta zuhaixkak zuri geldittu zien",western
prem213,"maitasunez eitten dabe; beraz, ofizialaren idea idea ona da",western
prem214,"beraz, sekulako itxura aben",western
prem215,"latak ontzi batien eta beirak beste batien gordetzen douz, eta papera beste batien, behin betetakuen, autuen kargatzie eta eruetie oinaze hutse da",western
prem216,"Locust Hill, ados, oso ondo",western
prem217,"Bermuda soropila bat dekot hemen, ur asko biher dauena, eta oso motz mantendu bida golf zelaiko greenaren itxurie izatie gure bozu.",western
prem218,"Nikel bat gehixau edo hogeta hamar zentabo gehixau da sei botilako sortie, eta mundu guztixek mugie zeharkatzen dau edaririk merkeenak erosteko.",western
prem219,"bai, entzun leiket",western
prem220,"Artikulu bat erosten dozun bakotxien, batez be artikulu haundi bat, ordaintzen zabizenari zergen % 10 inguru gehitu biher dotzezu beti.",western
prem221,"Ezohikue da, baña laguntzaz eitten da",western
prem222,"hori da bere plana; beraz, espero dot baietz",western
prem223,"hoixe, baña lege barrixekaz oso gatxa da oin",western
prem224,"Ene! Ez eutson arau bati be jarraittu, eta emoten eban ez otzola bape ardure; jakiñe, bota ein eben zuzenien.",western
prem225,"bai, eztau posible emoten, ezta?",western
prem226,"Washingtonen eta garaitu bako Buffalo New Orleansen eta Chicagoren artien dau kontua; izen be, Chicagok birritten baño eztau galdu eta horrexetako bat Buffaloren kontra izen zan.",western
prem227,"bai, arroparen ganeko zergak badouz",western
prem228,"Beno, gustoko dot girue",western
prem229,"nik ume bat dekot, hemezortzi hilebeteko neskato bat",western
prem230,"harrk dauen bigarrena kumaldiko txakurkumeetako bat bat izen zan, ar bakarra, hortzetako arazuena.",western
prem231,"hara, handik zabilz berbetan?",western
prem232,"egixe esan, ez dakit, ondino ez dodalako hainbeste traje jantzi biher izen.",western
prem233,musuetara juen zinen Europan,western
prem234,"Tira, zer pentsetan dau zure senarrak zure kamisetiaz?",western
prem235,"Aluminixo urtue be ez, aluminixo prentsatuzkuek zien.",western
prem236,eta artien billurre emoten zoztan,western
prem237,"eta, gero, seguruasko beittuko neuke zenbat ordaindu leiken ",western
prem238,"eztot gogoratzen baietz emoten abenik, baña agian ez",western
prem239,telebista lapurretarako zigor egokixe heriotzie dala uste dozu,western
prem240,"hondartza ederra zan, eta leku egokixe zan hara jueteko; beraz, hoixe da, seguru asko, nire lekurik gogokoenetako bat.",western
prem241,Jarri kola iragarki bat han,western
prem242,"ondo da, beraz, itxidazu argitzen, pistoletarako bost eguneko itxaronaldixe bidezkue izango leitteke zuretzat.",western
prem243,"bai, cocker spaniel bat izen neuenien aire zabaleko txakurre zan, eta usteot nahixau nabela",western
prem244,"ustez, zazpi egunetan, zure iraganari beittukotzie, eta preso ohixe ez zarala egiaztauko dabe.",western
prem245,bakizu nahixau neukela hegazkin batera igon eta hara iritsi eta gero gozau,western
prem246,"oin hilebete batzuk, sei epaimahaikide eukiezala, pentseu neuen baekixela hamabi gizonek epaitzen ebela.",western
prem247,"kreditu kooperatibetako zuzendari nausi guztixek eta holango jentie; beraz, kreditu kooperatibekaz pasetan ebilenaz baekixen.",western
prem248,"Badakit mundu guztixe beti dauela lanpetuta eta kezkatuta, eta arazo ugari dauzela, eta jentie ez dala une batez jarten eta eztauela berba eitten eta jakiten danak ondo urtengo dauela",western
prem249,"Brian, Planun, Texasen, zelan gaur?",western
prem250,kaosa baño ez dakar.,western
prem251,"bai, hoixe ein dot gaur, Darkman erosot, ikusiozu ez dotela ikusi ondino, gaur gabien ikusikot seguruenez.",western
prem252,"Ene bada, Ingelesien gradue dot, eta irakurtzie gustuko dot, kitto",western
prem253,"eta, ene! Buruen untziz josite dekot, mila zortziehun dolar ordaindu ebazan loro batengatik, ez sinisteko modukue.",western
prem254,"eta gitxiengue zara, betiko",western
prem255,"seguruenez gehixau da, estalduraz gozetan dotelako, egunkarixe irakurtzeko astirik ez dotelako",western
prem256,"Harexek eta neuk gustuko douz hareen abesti batzuk, baña ados nau, oro har ez neuke rapa aukeratuko.",western
prem257,entzun dotenagazko gogobetetasuna,western
prem258,"bakizu erreza dala esatie zulo zihetz bat eingo doule, eta ezer ez dala gertauko, eta gero ondo esango dabe hori probetako modu bakarra denpora luzien dala; beraz,",western
prem259,"eztau zertan, etxeko jentie izen leike, x dolar maneiatzen laguntzeotzuen personak.",western
prem260,Bere onera etorri zanien bera zan ehuneko laurogeta zazpi inguruen.,western
prem261,"beraz, arazo bat da zer erespide mota bilatzen dien erosketetan zabizenien",western
prem262,Atsegina izen da zugaz berba eittie,western
prem263,"Ikusteot Estauek eztauela eskatzen; nahiko ezohikue da, ezta?",western
prem264,"Bai, leku batzuk onak diez UPS bidez edo beste modu batera bialtzeko, baña",western
prem265,"eztot uste hori ein gure dauenik, baña, egixe esan, estagu politikari nausi bat edo dana dalakue modukue izen gurako leuke.",western
prem266,transmitiduteotzenien edo osotasunetik ulertzen ez aben zeozer,western
prem267,"bi seme dekodaz, hamabi eta hamaseikuek",western
prem268,"O, ene, izena ahaztuot, baña Parlamentuko Bakie da",western
prem269,tiro eitten dauen plastikozko arma automatiko bat da,western
prem270,"Bluegrass country moduko zeozer da, baña ondo pasetako modukuek diez",western
prem271,"jentetzie batzen da arin-arin beteten bada, eta ikusliek dotoreauek diez, yuppixek edo",western
prem272,"beno, neska lagunak alaba nerabe bat deko, eta, eskola hasi baño lehen urtero arropa erosten erueteko agintzeozte, burruka larregi eitten dabelako.",western
prem273,"Bakizu, beno, atzo liburutegire juen netzen, liburuek beitzen, eta PJ O'Rourkeren liburu barri bat aurkitu neuen, Parliament of Horrors izenekue, eta zerari buruzkue da",western
prem274,hogei minutu ingurukue da,western
prem275,"bai, hori egixe da, baña usteot hori baño gehixau esan gure dotela, bigarren hezkuntzie ixteaz nabil.",western
prem276,Sinestuezine da apur batetik lortu leikena,western
prem277,"oso ona izen zan, banekixen tristie izango zala, eta banekixen nonor hil eingo zala",western
prem278,Alkarren traban jarri,western
prem279,"bai, beno nik kantari zaharrauek neukezan, ahizta zaharrauek, hobeto esanda",western
prem280,"seguruenez hogei bider sei edo halango zeozer zien, eta sinestezine da zenbat landare landatu ahal dien han.",western
prem281,"Dances with wolves ikusi gendun, berandu samar, eta, zer gehixau? Silence of the lambs be ikusiot",western
prem282,"baña bizi garan eremu motie da, jakiñe, bizitzaren kostue be ez da hain haundixe, eta sumatzen da aldie",western
prem283,"ez dakit, baña ondino mendixen pentseu neuen, eta hori esan abenien pentseu neuen ""zer?""",western
prem284,"Ez neuen inoz bat antolatu, baña Oroimenaren Egunien bat izengo dou, seguruenez, azken bi urteetan izen dabe eta",western
prem285,zurie lau atekue da,western
prem286,"bai, badakizue, etxalde bat dekot hemendik ehun miliara, Texasko ekialdixen.",western
prem287,"Oso dibertigarrixe izen zan, jakiñe, jente askoren gustukue, urten eta astebete geroau edo.",western
prem288,"ez deko bape arazorik, eta estera horrexetako bat lortzen bozu, bakizu, denda batera juen; normalien, ariketa fisikue eitteko gida horrexetakuek izeten dabez.",western
prem289,"eta usteot hareen pareko egongo garala soldatan eta aitortzan, epe luzien.",western
prem290,"modu zintzoauek egongo diez, jentiaren bixotza ukitzeaz, negar einarazoteaz eta zeozer emonez on eitten dabizela sentiduarazoteaz gain.",western
prem291,"Honeek izeten douz: Urtebarrixe, Ostiral Santue, Oroimenaren Egune, Julixuen 4e, Beharginen Egune, Esker Emote Egune eta hurrengo egune, Natibittate Egune eta egun bat haren aurretik eta atzetik.",western
prem292,"hori da, datorren urtien motz gera geinkez aurten dana gastetan ez badou, beraz, eta bardin dotzo zeinen zorue dan gastua, dirue gastau.",western
prem293,"askotan, diesel autobusak ikustozuz, karbono partikulak, karbono dioxidue eta ur lurruna sortzen dabe.",western
prem294,"Bai, bai, hori leku ederra da benetan bisitetako",western
prem295,gustuko duaz behin eta barriro ikusten dozuezan film horrexek,western
prem296,"eta ezagutza hori eta haregaz doana emonda, gozatzen dauela emoten dau",western
prem297,"emoten dau txeketegixe txeke zuri bat dala, eta funts mugabakuek dauzela. Eztau muga barik gastetan, baña jarrera hori dau gitxi gorabehera",western
prem298,"Bai, persona batzuk esaten dabilz itzulera haundixe eingo dauela.",western
prem299,"eta, ikustagun, oin dala hogei nik uste iraultza sexuala deitzen eben horretan sartzen genbilzala, pilularen ostien eta.",western
prem300,"seguru asko, eta kide izen zaren bittartien ein dabe",western
