herria,probintzia,eskualdea,dialect_class,dialect_confidence,notes
Bergara,Gipuzkoa,Debagoiena,western,high,ahotsak:sortaldekoa-m
Arrasate,Gipuzkoa,Debagoiena,western,high,ahotsak:sortaldekoa-m
Oñati,Gipuzkoa,Debagoiena,western,high,ahotsak:sortaldekoa-m
Deba,Gipuzkoa,Debabarrena,central,high,ahotsak:sortaldekoa-m
Zumaia,Gipuzkoa,Urola Kosta,central,low,ahotsak:sartaldekoa-g
Getaria,Gipuzkoa,Urola Kosta,central,high,ahotsak:sartaldekoa-g
Zarautz,Gipuzkoa,Urola Kosta,central,low,ahotsak:sartaldekoa-g
Orio,Gipuzkoa,Urola Kosta,central,high,ahotsak:sartaldekoa-g
Donostia,Gipuzkoa,Donostialdea,central,high,ahotsak:erdigunekoa-g
Hernani,Gipuzkoa,Donostialdea,central,high,ahotsak:erdigunekoa-g
Tolosa,Gipuzkoa,Tolosaldea,central,low,ahotsak:erdigunekoa-g
Azkoitia,Gipuzkoa,Urola Erdia,central,high,ahotsak:sartaldekoa-g
Azpeitia,Gipuzkoa,Urola Erdia,central,high,ahotsak:sartaldekoa-g
Beizama,Gipuzkoa,Urola Erdia,central,low,ahotsak:sartaldekoa-g
Errezil,Gipuzkoa,Urola Erdia,central,low,ahotsak:sartaldekoa-g
Zestoa,Gipuzkoa,Urola Kosta,central,low,ahotsak:sartaldekoa-g
Aizarnazabal,Gipuzkoa,Urola Kosta,central,low,ahotsak:sartaldekoa-g
Urretxu,Gipuzkoa,Urola Garaia,central,low,ahotsak:sartaldekoa-g
Zumarraga,Gipuzkoa,Urola Garaia,central,low,ahotsak:sartaldekoa-g
Ordizia,Gipuzkoa,Goierri,central,high,ahotsak:sartaldekoa-g
Irun,Gipuzkoa,Bidasoa Behea,navarrese,low,ahotsak:sortaldekoa-g
Hondarribia,Gipuzkoa,Bidasoa Behea,navarrese,low,ahotsak:sortaldekoa-g
Oiartzun,Gipuzkoa,Oiartzualdea,navarrese,low,ahotsak:sortaldekoa-g
Errenteria,Gipuzkoa,Oiartzualdea,navarrese,low,ahotsak:sortaldekoa-g
Lezo,Gipuzkoa,Oiartzualdea,navarrese,low,ahotsak:sortaldekoa-g
Arano,Nafarroa,Leitzaldea,navarrese,low,ahotsak:sortaldekoa-g
Leitza,Nafarroa,Leitzaldea,navarrese,low,ahotsak:sortaldekoa-g
Araitz,Nafarroa,Leitzaldea,navarrese,low,ahotsak:sortaldekoa-g
Betelu,Nafarroa,Leitzaldea,navarrese,low,ahotsak:sortaldekoa-g
Larraun,Nafarroa,Leitzaldea,navarrese,low,ahotsak:sortaldekoa-g
Lekunberri,Nafarroa,Leitzaldea,navarrese,low,ahotsak:sortaldekoa-g
Imotz,Nafarroa,Ultzamaldea,navarrese,low,ahotsak:sortaldekoa-g
Basaburua,Nafarroa,Ultzamaldea,navarrese,low,ahotsak:sortaldekoa-g
Bera,Nafarroa,Bortziriak,navarrese,high,ahotsak:ipar-sartaldekoa
Goizueta,Nafarroa,Leitzaldea,navarrese,high,ahotsak:sortaldekoa-g
Doneztebe,Nafarroa,Malerreka,navarrese,high,ahotsak:ipar-sartaldekoa
Beintza Labaien,Nafarroa,Malerreka,navarrese,high,Ipar-Sartaldea
Saldias,Nafarroa,Malerreka,navarrese,high,ahotsak:ipar-sartaldekoa
Urdazubi,Nafarroa,Baztan,navarrese,high,ahotsak:sartaldekoa-nl
Zugarramurdi,Nafarroa,Baztan,navarrese,low,ahotsak:sartaldekoa-nl
Elizondo,Nafarroa,Baztan,navarrese,low,Tarteko hizkera (Baztan)
Luzaide,Nafarroa,Erroibar,navarrese,medium,ahotsak:erdigunekoa-nl
Orbaizeta,Nafarroa,Aezkoa,navarrese,low,ahotsak:sortaldekoa-n
Mezkaritz,Nafarroa,Erroibar,navarrese,high,Sortaldea
Eugi,Nafarroa,Esteribar,navarrese,high,Sortaldea
Lantz,Nafarroa,Ultzamaldea,navarrese,high,ahotsak:erdigunekoa-n
Anue,Nafarroa,Ultzamaldea,navarrese,high,ahotsak:erdigunekoa-n
Ultzama,Nafarroa,Ultzamaldea,navarrese,high,ahotsak:erdigunekoa-n
Atetz,Nafarroa,Ultzamaldea,navarrese,high,ahotsak:erdigunekoa-n
Odieta,Nafarroa,Ultzamaldea,navarrese,high,ahotsak:erdigunekoa-n
Bakaiku,Nafarroa,Sakana,navarrese,low,ahotsak:hego-sartaldekoa
Urdiain,Nafarroa,Sakana,navarrese,low,ahotsak:hego-sartaldekoa
Etxarri Aranatz,Nafarroa,Sakana,navarrese,high,ahotsak:hego-sartaldekoa
Baiona,Lapurdi,Donibane Lohizune-Hendaiako Kantonamendua,nav-lab,high,ahotsak:sartaldekoa-nl
Bidarte,Lapurdi,Biarritz-eko Kantonamendua,nav-lab,high,ahotsak:sartaldekoa-nl
Getaria,Lapurdi,Donibane Lohizune-Hendaiako Kantonamendua,nav-lab,high,ahotsak:sartaldekoa-g
Donibane Lohizune,Lapurdi,Donibane Lohizune-Hendaiako Kantonamendua,nav-lab,high,ahotsak:sartaldekoa-nl
Hendaia,Lapurdi,Donibane Lohizune-Hendaiako Kantonamendua,nav-lab,high,ahotsak:sartaldekoa-nl
Azkaine,Lapurdi,Donibane Lohizune-Hendaiako Kantonamendua,nav-lab,high,ahotsak:sartaldekoa-nl
Senpere,Lapurdi,Donibane Lohizune-Hendaiako Kantonamendua,nav-lab,high,ahotsak:erdigunekoa-nl
Sara,Lapurdi,Donibane Lohizune-Hendaiako Kantonamendua,nav-lab,high,ahotsak:sartaldekoa-nl
Ainhoa,Lapurdi,Donibane Lohizune-Hendaiako Kantonamendua,nav-lab,high,ahotsak:sartaldekoa-nl
Milafranga,Lapurdi,Hiriburuko Kantonamendua,nav-lab,low,ahotsak:erdigunekoa-nl
Arbona,Lapurdi,Hiriburuko Kantonamendua,nav-lab,low,ahotsak:erdigunekoa-nl
Uztaritze,Lapurdi,Uztaritzeko Kantonamendua,nav-lab,low,ahotsak:erdigunekoa-nl
Ezpeleta,Lapurdi,Uztaritzeko Kantonamendua,nav-lab,low,ahotsak:sartaldekoa-nl
Kanbo,Lapurdi,Uztaritzeko Kantonamendua,nav-lab,low,ahotsak:sartaldekoa-nl
Hazparne,Lapurdi,Hazparneko Kantonamendua,nav-lab,high,ahotsak:sortaldekoa-nl
Beskoitze,Lapurdi,Hazparneko Kantonamendua,nav-lab,high,ahotsak:sortaldekoa-nl
Bardoze,Lapurdi,Hazparneko Kantonamendua,nav-lab,low,ahotsak:sortaldekoa-nl
Izturitze,Lapurdi,Hazparneko Kantonamendua,nav-lab,high,ahotsak:sortaldekoa-nl
Makea,Lapurdi,Hazparneko Kantonamendua,nav-lab,high,ahotsak:sortaldekoa-nl
Luhuso,Lapurdi,Hazparneko Kantonamendua,nav-lab,high,ahotsak:sartaldekoa-nl
Heleta,Nafarroa Beherea,Baigorriko Kantonamendua,nav-lab,high,ahotsak:sortaldekoa-nl
Irisarri,Nafarroa Beherea,Baigorriko Kantonamendua,nav-lab,high,ahotsak:sortaldekoa-nl
Baigorri,Nafarroa Beherea,Baigorriko Kantonamendua,nav-lab,high,ahotsak:erdigunekoa-nl
Donibane Garazi,Nafarroa Beherea,Donibane Garaziko Kantonamendua,nav-lab,high,ahotsak:sortaldekoa-nl
Donapaleu,Nafarroa Beherea,Donapaleuko Kantonamendua,nav-lab,low,ahotsak:sortaldekoa-nl
Maule,Zuberoa,Maule Atharratzeko Kantonamendua,souletin,high,ahotsak:pettarrakoa
Barkoxe,Zuberoa,Maule Atharratzeko Kantonamendua,souletin,high,ahotsak:basaburua
Eskiula,Zuberoa,Bearnoko herria (kanpokoa),souletin,high,ahotsak:basaburua
Atharratze,Zuberoa,Maule Atharratzeko Kantonamendua,souletin,high,ahotsak:basaburua
Altzürükü,Zuberoa,Maule Atharratzeko Kantonamendua,souletin,high,ahotsak:basaburua
Larraine,Zuberoa,Maule Atharratzeko Kantonamendua,souletin,high,ahotsak:basaburua
Santa Grazi,Zuberoa,Maule Atharratzeko Kantonamendua,souletin,high,ahotsak:basaburua
Domintxaine-Berroeta,Zuberoa,Maule Atharratzeko Kantonamendua,souletin,low,ahotsak:pettarrakoa
Etxarri,Zuberoa,Maule Atharratzeko Kantonamendua,souletin,low,ahotsak:sortaldekoa-nl
Arüe-Ithorrotze-Olhaibi,Zuberoa,Maule Atharratzeko Kantonamendua,souletin,low,Tarteko hizkera
Lohitzüne-Oihergi,Zuberoa,Maule Atharratzeko Kantonamendua,souletin,low,Tarteko hizkera
Pagola,Zuberoa,Maule Atharratzeko Kantonamendua,souletin,low,ahotsak:basaburua
Arantza,Nafarroa,Bortziriak,navarrese,high,ahotsak:ipar-sartaldekoa
Etxalar,Nafarroa,Bortziriak,navarrese,high,ahotsak:ipar-sartaldekoa
Igantzi,Nafarroa,Bortziriak,navarrese,high,ahotsak:ipar-sartaldekoa
Lesaka,Nafarroa,Bortziriak,navarrese,high,ahotsak:ipar-sartaldekoa
Bertizarana,Nafarroa,Malerreka,navarrese,high,ahotsak:ipar-sartaldekoa
Donamaria,Nafarroa,Malerreka,navarrese,high,ahotsak:ipar-sartaldekoa
Eratsun,Nafarroa,Malerreka,navarrese,high,ahotsak:ipar-sartaldekoa
Ezkurra,Nafarroa,Malerreka,navarrese,high,ahotsak:ipar-sartaldekoa
Ituren,Nafarroa,Malerreka,navarrese,high,ahotsak:ipar-sartaldekoa
Labaien,Nafarroa,Malerreka,navarrese,high,ahotsak:ipar-sartaldekoa
Oitz,Nafarroa,Malerreka,navarrese,high,ahotsak:ipar-sartaldekoa
Sunbilla,Nafarroa,Malerreka,navarrese,high,ahotsak:ipar-sartaldekoa
Urroz,Nafarroa,Malerreka,navarrese,high,ahotsak:ipar-sartaldekoa
Zubieta,Nafarroa,Malerreka,navarrese,high,ahotsak:ipar-sartaldekoa
Baztan,Nafarroa,Baztan,navarrese,high,ahotsak:baztangoa
Olaibar,Nafarroa,Ultzamaldea,navarrese,high,ahotsak:hegoaldeko-nafarra
Txulapain,Nafarroa,Ultzamaldea,navarrese,high,ahotsak:hegoaldeko-nafarra
Ezkabarte,Nafarroa,Ultzamaldea,navarrese,medium,ahotsak:hegoaldeko-nafarra
Altsasu,Nafarroa,Sakana,navarrese,medium,ahotsak:hego-sartaldekoa
Arbizu,Nafarroa,Sakana,navarrese,medium,ahotsak:hego-sartaldekoa
Arruazu,Nafarroa,Sakana,navarrese,medium,ahotsak:hego-sartaldekoa
Ergoiena,Nafarroa,Sakana,navarrese,medium,ahotsak:hego-sartaldekoa
Iraneta,Nafarroa,Sakana,navarrese,medium,Hego-Sartaldea
Iturmendi,Nafarroa,Sakana,navarrese,medium,ahotsak:hego-sartaldekoa
Olatzagutia,Nafarroa,Sakana,navarrese,medium,ahotsak:hego-sartaldekoa
Uharte Arakil,Nafarroa,Sakana,navarrese,medium,Hego-Sartaldea
Arakil,Nafarroa,Sakana,navarrese,medium,ahotsak:erdigunekoa-n
Ziordia,Nafarroa,Sakana,navarrese,medium,ahotsak:hego-sartaldekoa
Zirauki,Nafarroa,Sakana,navarrese,medium,Hego-Sartaldea
Itza,Nafarroa,Sakana,navarrese,medium,ahotsak:hegoaldeko-nafarra
Erroibar,Nafarroa,Erroibar,navarrese,low,ahotsak:sortaldekoa-n
Artazu,Nafarroa,Erroibar,navarrese,low,Sortaldea
Hiriberri,Nafarroa,Erroibar,navarrese,low,ahotsak:sortaldekoa-n
Burgi,Nafarroa,Erroibar,navarrese,low,ahotsak:erronkarikoa
Esteribar,Nafarroa,Esteribar,navarrese,low,ahotsak:sortaldekoa-n
Abaurregaina,Nafarroa,Aezkoa,navarrese,low,ahotsak:sortaldekoa-n
Aria,Nafarroa,Aezkoa,navarrese,low,ahotsak:sortaldekoa-n
Garralda,Nafarroa,Aezkoa,navarrese,low,ahotsak:sortaldekoa-n
Garaioa,Nafarroa,Aezkoa,navarrese,low,ahotsak:sortaldekoa-n
Orbara,Nafarroa,Aezkoa,navarrese,low,ahotsak:sortaldekoa-n
Artzibar,Nafarroa,Artzibar,navarrese,low,ahotsak:hegoaldeko-nafarra
Auritz,Nafarroa,Artzibar,navarrese,low,ahotsak:sortaldekoa-n
Orreaga,Nafarroa,Artzibar,navarrese,low,ahotsak:sortaldekoa-n
Uztarroze,Nafarroa,Erronkari,navarrese,low,ahotsak:erronkarikoa
Erronkari,Nafarroa,Erronkari,navarrese,low,ahotsak:erronkarikoa
Bidankoze,Nafarroa,Erronkari,navarrese,low,ahotsak:erronkarikoa
Izaba,Nafarroa,Erronkari,navarrese,low,ahotsak:erronkarikoa
Espartza Zaraitzu,Nafarroa,Zaraitzu,navarrese,low,Sortaldea (Zaraitzu)
Jaurrieta,Nafarroa,Zaraitzu,navarrese,low,ahotsak:zaraitzukoa
Otsagabia,Nafarroa,Zaraitzu,navarrese,low,ahotsak:zaraitzukoa
Orontze,Nafarroa,Zaraitzu,navarrese,low,ahotsak:zaraitzukoa
Ezkaroze,Nafarroa,Zaraitzu,navarrese,low,ahotsak:zaraitzukoa
Itzaltzu,Nafarroa,Zaraitzu,navarrese,low,ahotsak:zaraitzukoa
