name,url,type,territory,municipality,dialect_class,language,notes
Hamaika Telebista (Bilbo),https://hamaika.eus,telebista,Hegoalde,Hernani,western,eu,Bilbo edition
Herria,https://herria.eus,tokikoa,Iparralde,Baiona,nav-lab,eu,"Iparralde weekly newspaper, oldest Basque publication"
Herrikoia,https://herrikoia.eus,tokikoa,Hegoalde,Urduliz,western,eu,Uribe Kosta region
Hiruka,https://hiruka.eus,tokikoa,Hegoalde,Arrigorriaga,western,eu,✓ 1 article (7921 chars). Eskuinaldea (right bank) and Nerbioi [Tokikom member verified via Wikipedia]
Hitza.eus (aggregator),https://hitza.eus,agregatzailea,Hegoalde,Andoain,batua,eu,Aggregator of all Hitza local newspapers
Ipar Euskal Herriko Hitza,https://iparraldekohitza.eus,tokikoa,Iparralde,Baiona,nav-lab,eu,"⚠ paywall, no text. Iparralde-focused Basque news"
Irulegiko Irratia,https://www.irulegikoirratia.eus,irratia,Iparralde,Donibane Garazi,nav-lab,eu,Behe Nafarroa radio
Jakin,https://www.jakin.eus,aldizkaria,Hegoalde,Donostia,batua,eu,Cultural/social thought journal
Kalegats,https://kalegats.eus,tokikoa,Hegoalde,Zestoa,central,eu,Zestoa area
Kanaldude,https://www.kanaldude.eus,telebista,Iparralde,Donibane Garazi,nav-lab,eu,"Basque TV channel, Iparralde"
Karkara,https://karkara.eus,tokikoa,Hegoalde,Zarautz,central,eu,"⚠ sitemap OK, extraction failed. Zarautz and area [Tokikom member verified via Wikipedia]"
Kazeta.eus,https://www.kazeta.eus,tokikoa,Iparralde,Baiona,nav-lab,eu,Ipar Euskal Herria digital newspaper
Kortezubi,https://www.kortezubi.eus,tokikoa,Hegoalde,Kortezubi,western,eu,Tokikom member (from Wikipedia)
Kronika,https://kronika.eus,tokikoa,Hegoalde,Urretxu,central,eu,✓ 3 articles (1416 avg chars). Urola Garaia region [Tokikom member verified via Wikipedia]
Kudeatzea,https://kudeatzea.eus,tokikoa,Hegoalde,Etxebarri,western,eu,Etxebarri area
Lea-Artibai eta Mutrikuko Hitza,https://lea-artibai.hitza.eus,tokikoa,Hegoalde,Markina-Xemein,western,eu,"Lea-Artibai, Western dialect"
Maxixatzen,https://maxixatzen.eus,tokikoa,Hegoalde,Azkoitia,central,eu,Azkoitia area [Tokikom member verified via Wikipedia]
Nabarniz,https://www.nabarniz.eus,tokikoa,Hegoalde,Nabarniz,western,eu,Tokikom member (from Wikipedia)
Noaua!,https://noaua.eus,tokikoa,Hegoalde,Usurbil,central,eu,Usurbil local
Noticias de Gipuzkoa (euskara),https://www.noticiasdegipuzkoa.eus,egunkaria,Hegoalde,Donostia,es+batua,es+eu,"Spanish+Batua bilingual. Basque section, Gipuzkoa-focused"
Noticias de Álava (euskara),https://www.noticiasdealava.eus,egunkaria,Hegoalde,Gasteiz,es+batua,eu,"Spanish+Batua bilingual. Basque section, Araba-focused"
Oarso Bidasoko Hitza,https://oarsobidasoa.hitza.eus,tokikoa,Hegoalde,Oiartzun,central,eu,Oarso-Bidasoa region
Ospa,https://ospa.eus,tokikoa,Hegoalde,Arrasate,western,eu,Arrasate and surroundings
Parrapean,https://parrapean.eus,tokikoa,Hegoalde,Mungia,western,eu,Mungialdea region
Plaentxia,https://plaentxia.eus,tokikoa,Hegoalde,Soraluze,western,eu,Soraluze-Placencia
Prest!,https://www.prest.eus,tokikoa,Hegoalde,Deba,western,eu,Tokikom member (from Wikipedia)
Sustatu,https://sustatu.eus,blog,Hegoalde,Donostia,batua,eu,"Technology & culture blog, early Basque internet"
Tokikom,https://tokikom.eus,agregatzailea,Hegoalde,Bilbo,batua,eu,Aggregator of Basque local media
Tolosaldeko Hitza,https://tolosa.hitza.eus,tokikoa,Hegoalde,Tolosa,central,eu,"Tolosaldea region, Central dialect"
Ttipi-Ttapa,https://ttipi-ttapa.eus,tokikoa,Hegoalde,Elizondo,navarrese,eu,"Baztan-Bidasoa, Nafarroa — Navarrese dialect area [Tokikom member verified via Wikipedia]"
Txintxarri,https://txintxarri.eus,tokikoa,Hegoalde,Azkoitia,central,eu,"⚠ sitemap OK, extraction failed. Azkoitia area"
Uberan,https://uberan.eus,aldizkaria,Hegoalde,Donostia,batua,eu,Elhuyar's digital culture magazine
UK,https://www.ukberri.eus,tokikoa,Hegoalde,Bilbo,western,eu,Tokikom member (from Wikipedia)
Uriola,https://www.uriola.eus,tokikoa,Hegoalde,Bilbo,western,eu,Tokikom member (from Wikipedia)
Urolako Hitza,https://urola.hitza.eus,tokikoa,Hegoalde,Azpeitia,central,eu,"Urola region, Central dialect"
Uztarria,https://uztarria.eus,tokikoa,Hegoalde,Azpeitia,central,eu,✓ 10 articles (2088 avg chars). Azpeitia local [Tokikom member verified via Wikipedia]
Xiberoko Botza,https://xiberokobotza.org,irratia,Iparralde,Maule,souletin,eu,Zuberoa radio — Souletin dialect
Xorroxin Irratia,https://xorroxinirratia.eus,irratia,Hegoalde,Elizondo,navarrese,eu,"Baztan radio, Navarrese dialect"
Zinea.eus,https://www.zinea.eus,aldizkaria,Hegoalde,Lasarte-Oria,batua,eu,Basque cinema magazine
ZuZeu,https://zuzeu.eus,egunkaria,Hegoalde,Gasteiz,batua,eu,"Digital daily, opinion/culture"
Zuzeu (Iruñea),https://zuzeu.eus,egunkaria,Hegoalde,Iruñea,batua,eu,Also has Nafarroa focus
